id,sequence,length,num_stops
1,"[1, 3, 2]",25590,3
2,"[1, 3]",4010,2
3,"[1, 3, 4]",10061,3
4,"[1, 3, 5, 4]",18836,4
5,"[1, 3, 5, 7, 6, 4]",34631,6
6,"[1, 3, 5]",13282,3
7,"[1, 3, 4, 5]",15615,4
8,"[1, 3, 4, 6, 7, 5]",31410,6
9,"[1, 3, 4, 6]",21837,4
10,"[1, 3, 5, 7, 6]",22855,5
11,"[1, 3, 4, 5, 7, 6]",25188,6
12,"[1, 3, 5, 4, 6]",30612,5
13,"[1, 3, 5, 7]",18524,4
14,"[1, 3, 4, 5, 7]",20857,5
15,"[1, 3, 4, 6, 7]",26168,5
16,"[1, 3, 5, 4, 6, 7]",34943,6
17,"[1, 3, 4, 6, 8]",27083,5
18,"[1, 3, 5, 7, 6, 8]",28101,6
19,"[1, 3, 4, 5, 7, 6, 8]",30434,7
20,"[1, 3, 5, 4, 6, 8]",35858,6
21,"[1, 3, 5, 7, 9]",24750,5
22,"[1, 3, 4, 5, 7, 9]",27083,6
23,"[1, 3, 4, 6, 7, 9]",32394,6
24,"[1, 3, 5, 4, 6, 7, 9]",41169,7
25,"[2, 3]",21580,2
26,"[2, 3, 4]",27631,3
27,"[2, 3, 5, 4]",36406,4
28,"[2, 3, 5, 7, 6, 4]",52201,6
29,"[2, 3, 5]",30852,3
30,"[2, 3, 4, 5]",33185,4
31,"[2, 3, 4, 6, 7, 5]",48980,6
32,"[2, 3, 4, 6]",39407,4
33,"[2, 3, 5, 7, 6]",40425,5
34,"[2, 3, 4, 5, 7, 6]",42758,6
35,"[2, 3, 5, 4, 6]",48182,5
36,"[2, 3, 5, 7]",36094,4
37,"[2, 3, 4, 5, 7]",38427,5
38,"[2, 3, 4, 6, 7]",43738,5
39,"[2, 3, 5, 4, 6, 7]",52513,6
40,"[2, 3, 4, 6, 8]",44653,5
41,"[2, 3, 5, 7, 6, 8]",45671,6
42,"[2, 3, 4, 5, 7, 6, 8]",48004,7
43,"[2, 3, 5, 4, 6, 8]",53428,6
44,"[2, 3, 5, 7, 9]",42320,5
45,"[2, 3, 4, 5, 7, 9]",44653,6
46,"[2, 3, 4, 6, 7, 9]",49964,6
47,"[2, 3, 5, 4, 6, 7, 9]",58739,7
48,"[3, 4]",6051,2
49,"[3, 5, 4]",14826,3
50,"[3, 5, 7, 6, 4]",30621,5
51,"[3, 5]",9272,2
52,"[3, 4, 5]",11605,3
53,"[3, 4, 6, 7, 5]",27400,5
54,"[3, 4, 6]",17827,3
55,"[3, 5, 7, 6]",18845,4
56,"[3, 4, 5, 7, 6]",21178,5
57,"[3, 5, 4, 6]",26602,4
58,"[3, 5, 7]",14514,3
59,"[3, 4, 5, 7]",16847,4
60,"[3, 4, 6, 7]",22158,4
61,"[3, 5, 4, 6, 7]",30933,5
62,"[3, 4, 6, 8]",23073,4
63,"[3, 5, 7, 6, 8]",24091,5
64,"[3, 4, 5, 7, 6, 8]",26424,6
65,"[3, 5, 4, 6, 8]",31848,5
66,"[3, 5, 7, 9]",20740,4
67,"[3, 4, 5, 7, 9]",23073,5
68,"[3, 4, 6, 7, 9]",28384,5
69,"[3, 5, 4, 6, 7, 9]",37159,6
70,"[4, 5]",5554,2
71,"[4, 3, 5]",15323,3
72,"[4, 6, 7, 5]",21349,4
73,"[4, 6]",11776,2
74,"[4, 5, 7, 6]",15127,4
75,"[4, 3, 5, 7, 6]",24896,5
76,"[4, 5, 7]",10796,3
77,"[4, 6, 7]",16107,3
78,"[4, 3, 5, 7]",20565,4
79,"[4, 6, 8]",17022,3
80,"[4, 5, 7, 6, 8]",20373,5
81,"[4, 3, 5, 7, 6, 8]",30142,6
82,"[4, 5, 7, 9]",17022,4
83,"[4, 6, 7, 9]",22333,4
84,"[4, 3, 5, 7, 9]",26791,5
85,"[5, 7, 6]",9573,3
86,"[5, 4, 6]",17330,3
87,"[5, 3, 4, 6]",27099,4
88,"[5, 7]",5242,2
89,"[5, 4, 6, 7]",21661,4
90,"[5, 3, 4, 6, 7]",31430,5
91,"[5, 7, 6, 8]",14819,4
92,"[5, 4, 6, 8]",22576,4
93,"[5, 3, 4, 6, 8]",32345,5
94,"[5, 7, 9]",11468,3
95,"[5, 4, 6, 7, 9]",27887,5
96,"[5, 3, 4, 6, 7, 9]",37656,6
97,"[6, 7]",4331,2
98,"[6, 4, 5, 7]",22572,4
99,"[6, 4, 3, 5, 7]",32341,5
100,"[6, 8]",5246,2
101,"[6, 7, 9]",10557,3
102,"[6, 4, 5, 7, 9]",28798,5
103,"[6, 4, 3, 5, 7, 9]",38567,6
104,"[7, 6, 8]",9577,3
105,"[7, 5, 4, 6, 8]",27818,5
106,"[7, 5, 3, 4, 6, 8]",37587,6
107,"[7, 9]",6226,2
108,"[8, 6, 7, 9]",15803,4
109,"[8, 6, 4, 5, 7, 9]",34044,6
110,"[8, 6, 4, 3, 5, 7, 9]",43813,7
