id,sequence,length,num_stops
1,"[1, 3, 2]",25590,3
2,,0,0
3,,0,0
4,,0,0
5,,0,0
6,,0,0
7,,0,0
8,,0,0
9,,0,0
10,,0,0
11,"[1, 3]",4010,2
12,,0,0
13,,0,0
14,,0,0
15,,0,0
16,,0,0
17,,0,0
18,,0,0
19,,0,0
20,,0,0
21,"[1, 3, 4]",10061,3
22,"[1, 3, 5, 4]",18836,4
23,"[1, 3, 5, 7, 6, 4]",34631,6
24,,0,0
25,,0,0
26,,0,0
27,,0,0
28,,0,0
29,,0,0
30,,0,0
31,"[1, 3, 5]",13282,3
32,"[1, 3, 4, 5]",15615,4
33,"[1, 3, 4, 6, 7, 5]",31410,6
34,,0,0
35,,0,0
36,,0,0
37,,0,0
38,,0,0
39,,0,0
40,,0,0
41,"[1, 3, 4, 6]",21837,4
42,"[1, 3, 5, 4, 6]",30612,5
43,"[1, 3, 5, 7, 6]",22855,5
44,"[1, 3, 4, 5, 7, 6]",25188,6
45,,0,0
46,,0,0
47,,0,0
48,,0,0
49,,0,0
50,,0,0
51,"[1, 3, 5, 7]",18524,4
52,"[1, 3, 4, 5, 7]",20857,5
53,"[1, 3, 4, 6, 7]",26168,5
54,"[1, 3, 5, 4, 6, 7]",34943,6
55,,0,0
56,,0,0
57,,0,0
58,,0,0
59,,0,0
60,,0,0
61,"[1, 3, 4, 6, 8]",27083,5
62,"[1, 3, 5, 4, 6, 8]",35858,6
63,"[1, 3, 5, 7, 6, 8]",28101,6
64,"[1, 3, 4, 5, 7, 6, 8]",30434,7
65,,0,0
66,,0,0
67,,0,0
68,,0,0
69,,0,0
70,,0,0
71,"[1, 3, 5, 7, 9]",24750,5
72,"[1, 3, 4, 5, 7, 9]",27083,6
73,"[1, 3, 4, 6, 7, 9]",32394,6
74,"[1, 3, 5, 4, 6, 7, 9]",41169,7
75,,0,0
76,,0,0
77,,0,0
78,,0,0
79,,0,0
80,,0,0
81,"[2, 3, 1]",25590,3
82,,0,0
83,,0,0
84,,0,0
85,,0,0
86,,0,0
87,,0,0
88,,0,0
89,,0,0
90,,0,0
91,"[2, 3]",21580,2
92,,0,0
93,,0,0
94,,0,0
95,,0,0
96,,0,0
97,,0,0
98,,0,0
99,,0,0
100,,0,0
101,"[2, 3, 4]",27631,3
102,"[2, 3, 5, 4]",36406,4
103,"[2, 3, 5, 7, 6, 4]",52201,6
104,,0,0
105,,0,0
106,,0,0
107,,0,0
108,,0,0
109,,0,0
110,,0,0
111,"[2, 3, 5]",30852,3
112,"[2, 3, 4, 5]",33185,4
113,"[2, 3, 4, 6, 7, 5]",48980,6
114,,0,0
115,,0,0
116,,0,0
117,,0,0
118,,0,0
119,,0,0
120,,0,0
121,"[2, 3, 4, 6]",39407,4
122,"[2, 3, 5, 4, 6]",48182,5
123,"[2, 3, 5, 7, 6]",40425,5
124,"[2, 3, 4, 5, 7, 6]",42758,6
125,,0,0
126,,0,0
127,,0,0
128,,0,0
129,,0,0
130,,0,0
131,"[2, 3, 5, 7]",36094,4
132,"[2, 3, 4, 5, 7]",38427,5
133,"[2, 3, 4, 6, 7]",43738,5
134,"[2, 3, 5, 4, 6, 7]",52513,6
135,,0,0
136,,0,0
137,,0,0
138,,0,0
139,,0,0
140,,0,0
141,"[2, 3, 4, 6, 8]",44653,5
142,"[2, 3, 5, 4, 6, 8]",53428,6
143,"[2, 3, 5, 7, 6, 8]",45671,6
144,"[2, 3, 4, 5, 7, 6, 8]",48004,7
145,,0,0
146,,0,0
147,,0,0
148,,0,0
149,,0,0
150,,0,0
151,"[2, 3, 5, 7, 9]",42320,5
152,"[2, 3, 4, 5, 7, 9]",44653,6
153,"[2, 3, 4, 6, 7, 9]",49964,6
154,"[2, 3, 5, 4, 6, 7, 9]",58739,7
155,,0,0
156,,0,0
157,,0,0
158,,0,0
159,,0,0
160,,0,0
161,"[3, 1]",4010,2
162,,0,0
163,,0,0
164,,0,0
165,,0,0
166,,0,0
167,,0,0
168,,0,0
169,,0,0
170,,0,0
171,"[3, 2]",21580,2
172,,0,0
173,,0,0
174,,0,0
175,,0,0
176,,0,0
177,,0,0
178,,0,0
179,,0,0
180,,0,0
181,"[3, 4]",6051,2
182,"[3, 5, 4]",14826,3
183,"[3, 5, 7, 6, 4]",30621,5
184,,0,0
185,,0,0
186,,0,0
187,,0,0
188,,0,0
189,,0,0
190,,0,0
