id,origin,destination,demand,paths
1,1,2,5,1
2,1,3,5,1
3,1,4,5,1
4,1,5,5,1
5,1,6,5,1
6,1,7,5,1
7,1,8,5,1
8,1,9,5,1
9,2,1,5,1
10,2,3,5,1
11,2,4,5,1
12,2,5,5,1
13,2,6,5,1
14,2,7,5,1
15,2,8,5,1
16,2,9,5,1
17,3,1,5,1
18,3,2,5,1
19,3,4,5,1
20,3,5,5,1
21,3,6,5,1
22,3,7,5,1
23,3,8,5,1
24,3,9,5,1
25,4,1,5,1
26,4,2,5,1
27,4,3,5,1
28,4,5,5,1
29,4,6,5,1
30,4,7,5,1
31,4,8,5,1
32,4,9,5,1
33,5,1,5,1
34,5,2,5,1
35,5,3,5,1
36,5,4,5,1
37,5,6,5,1
38,5,7,5,1
39,5,8,5,1
40,5,9,5,1
41,6,1,5,1
42,6,2,5,1
43,6,3,5,1
44,6,4,5,1
45,6,5,5,1
46,6,7,5,1
47,6,8,5,1
48,6,9,5,1
49,7,1,5,1
50,7,2,5,1
51,7,3,5,1
52,7,4,5,1
53,7,5,5,1
54,7,6,5,1
55,7,8,5,1
56,7,9,5,1
57,8,1,5,1
58,8,2,5,1
59,8,3,5,1
60,8,4,5,1
61,8,5,5,1
62,8,6,5,1
63,8,7,5,1
64,8,9,5,1
65,9,1,5,1
66,9,2,5,1
67,9,3,5,1
68,9,4,5,1
69,9,5,5,1
70,9,6,5,1
71,9,7,5,1
72,9,8,5,1
