id,sequence,length,num_stops
1,"[1, 18, 14, 20, 18, 19, 15, 32, 29]",73209.0845,9
2,"[1, 18, 14, 21, 23, 8, 22, 6, 4]",46892.62150000001,9
3,"[1, 18, 15, 19, 32, 29]",44319.17999999999,6
4,"[1, 18, 19, 13, 14, 21, 23, 22, 29, 16]",59803.617000000006,10
5,"[1, 18, 19, 29, 22, 6, 4]",38944.607,7
6,"[1, 18, 24, 2, 5, 27, 11]",71349.068,7
7,"[1, 20, 14, 13, 23, 8, 22, 29, 12]",54904.776,9
8,"[1, 20, 14, 18, 15, 3]",38174.01149999999,6
9,"[1, 20, 14, 18, 15, 3, 17, 4, 28, 25]",83695.24050000001,10
10,"[1, 20, 14, 18, 15, 19, 29, 32, 19, 16, 13, 23, 21]",80131.608,13
11,"[1, 20, 14, 18, 19, 13, 9, 23, 8, 21, 14, 18]",60546.94600000001,12
12,"[1, 20, 14, 18, 19, 29, 16, 23, 21, 31]",52361.8795,10
13,"[1, 20, 14, 18, 19, 32, 29, 22, 23, 8, 21]",63524.494000000006,11
14,"[1, 20, 14, 21, 23, 9, 13, 16, 29, 22, 6, 4]",50391.5455,12
15,"[1, 20, 14, 21, 23, 22, 6, 4]",40051.957,8
16,"[1, 20, 14, 21, 31, 12, 22, 6, 4]",61317.462,9
17,"[1, 20, 14, 21, 31, 14, 18, 19, 29, 16, 13, 9, 23]",62644.17800000001,13
18,"[1, 20, 14, 31, 12, 22]",49223.7805,6
19,"[1, 20, 18, 14, 21, 8, 23, 13, 19, 29, 12, 22]",85142.89499999999,12
20,"[1, 20, 18, 14, 21, 23, 8]",33415.0195,7
21,"[1, 20, 18, 14, 31, 12, 29, 22, 6, 4, 10, 17]",79197.3175,12
22,"[1, 20, 18, 15, 19, 29, 32, 30, 25]",82592.73899999997,9
23,"[1, 20, 31, 21, 14, 13, 16, 29, 23, 9]",48261.380500000014,10
24,"[1, 24, 18, 13, 14, 21, 31, 20]",47624.112,8
25,"[1, 24, 18, 14, 21, 8, 23, 9]",43360.695,8
26,"[1, 24, 18, 14, 31, 21, 23, 9, 13, 19]",50313.518500000006,10
27,"[1, 24, 18, 19, 13, 9, 23, 8]",42384.39000000001,8
28,"[1, 24, 18, 19, 29, 23, 8]",43870.5195,7
29,"[2, 3, 15, 18, 14, 20]",57716.09449999999,6
30,"[2, 3, 15, 18, 14, 21, 31]",60561.068499999994,7
31,"[2, 3, 15, 19, 32, 29, 16, 23]",70845.70099999999,8
32,"[2, 24, 1, 20, 18, 14, 21, 13, 9, 23]",53343.50200000001,10
33,"[2, 24, 1, 20, 18, 14, 21, 23, 29, 19, 13, 9]",67899.052,12
34,"[2, 24, 1, 20, 18, 19, 16, 23, 21, 14, 31, 12]",78443.68950000001,12
35,"[2, 24, 1, 20, 31, 21, 14, 18, 13, 19, 32]",63410.081500000015,11
36,"[2, 24, 15, 18, 14, 20, 1, 24]",53514.5425,8
37,"[2, 24, 15, 18, 14, 21, 13, 23, 16]",57182.8,9
38,"[2, 24, 18, 13, 16, 29, 32, 30]",61155.56599999999,8
39,"[2, 24, 18, 13, 21, 23, 22, 29, 19]",62161.903999999995,9
40,"[2, 24, 18, 14, 20, 31, 12, 29, 22, 6, 4, 10]",85643.214,12
41,"[2, 24, 18, 14, 20, 31, 21, 23, 16, 19, 29, 12]",78404.119,12
42,"[2, 24, 18, 14, 21, 23, 8]",38675.2665,7
43,"[2, 24, 18, 14, 21, 23, 9, 13, 23]",45825.348,9
44,"[2, 24, 18, 14, 21, 31, 20]",40182.628,7
45,"[2, 24, 18, 14, 31, 12, 29, 16, 13, 21, 23, 9]",86750.12100000001,12
46,"[2, 24, 18, 15, 3, 11]",59415.98449999999,6
47,"[2, 24, 18, 19, 13, 16, 29, 22, 6, 4, 10]",60294.828,11
48,"[2, 24, 18, 19, 16, 23, 29, 22, 25]",52506.2755,9
49,"[2, 24, 18, 19, 16, 29, 23, 21, 31, 20, 14, 21]",69346.62349999999,12
50,"[3, 15, 18, 14, 13, 9, 23, 21, 14, 18, 15, 19, 16]",82293.01950000001,13
51,"[3, 15, 18, 14, 13, 19]",39658.312,6
52,"[3, 15, 18, 14, 21, 23, 8]",40697.9915,7
53,"[3, 15, 18, 14, 21, 31, 12, 29]",65626.7775,8
54,"[3, 15, 18, 14, 21, 31, 20, 1, 24, 18]",65350.46799999999,10
55,"[3, 15, 18, 19, 16, 29, 22, 6, 4, 10, 17]",62312.57749999999,11
56,"[3, 15, 18, 19, 29, 22, 25, 28, 4, 10, 17]",64134.12749999999,11
57,"[3, 15, 18, 19, 32, 29, 22, 6, 4, 10, 17, 4]",73296.718,12
58,"[3, 15, 18, 19, 32, 29, 22, 25]",50268.106,8
59,"[3, 15, 18, 19, 32, 29, 23]",47076.3805,7
60,"[3, 15, 18, 19, 32, 29, 30]",58177.42149999999,7
61,"[3, 15, 18, 20, 1, 24, 18, 19, 13, 14, 21, 8]",84371.0505,12
62,"[3, 15, 18, 20, 14, 21, 23, 8]",47966.95999999999,8
63,"[3, 15, 19, 16, 23, 21, 14, 18]",49262.301999999996,8
64,"[3, 15, 19, 18, 1, 20, 14, 31]",58524.39449999999,8
65,"[3, 15, 19, 18, 24, 2, 5]",60398.90049999998,7
66,"[3, 15, 19, 29, 22, 6, 4, 17, 10]",60019.7535,9
67,"[3, 15, 19, 29, 22, 6, 4, 28, 25]",51796.18949999999,9
68,"[3, 15, 19, 29, 23, 8, 22, 6, 4, 10, 17, 4]",79127.0885,12
69,"[3, 15, 19, 32, 29, 22, 6]",43726.0805,7
70,"[3, 15, 19, 32, 29, 22, 6, 4, 10, 17, 4]",68464.995,11
71,"[3, 15, 19, 32, 29, 22, 25, 28, 4, 6]",57509.116,10
72,"[3, 15, 24, 1, 18, 13, 14, 21, 31]",61692.36549999999,9
73,"[3, 15, 24, 18, 19, 29, 22, 6, 4, 28, 25]",67540.93949999998,11
74,"[3, 15, 24, 18, 19, 32, 29, 16, 13, 14, 21, 23, 9]",81422.82999999999,13
75,"[3, 15, 32, 29, 22, 30, 32]",74415.02699999997,7
76,"[3, 17, 4, 6, 22, 8, 23, 16, 19, 13, 9]",78584.93750000003,11
77,"[3, 17, 4, 6, 22, 29, 16, 23, 21, 31]",70832.77550000003,10
78,"[3, 17, 4, 6, 22, 29, 32, 19]",63855.734000000026,8
79,"[3, 17, 10, 4, 6, 22, 12, 29, 16]",84399.83800000002,9
80,"[3, 17, 10, 4, 6, 22, 23, 13, 18, 1]",83001.35500000001,10
81,"[3, 17, 10, 4, 6, 22, 25, 28]",57621.920500000015,8
82,"[3, 17, 10, 4, 6, 22, 29]",54589.18250000002,7
83,"[3, 17, 10, 4, 6, 22, 29, 16, 13, 14, 20, 1]",82157.57100000001,12
84,"[3, 17, 10, 4, 6, 22, 29, 16, 19, 18, 1, 20]",87775.29550000001,12
85,"[3, 17, 10, 4, 6, 22, 29, 16, 19, 18, 24, 1]",89074.10750000001,12
86,"[3, 17, 10, 4, 6, 22, 29, 19]",62506.231500000016,8
87,"[3, 17, 10, 4, 6, 22, 29, 19, 15, 7]",77679.99600000001,10
88,"[3, 17, 10, 4, 6, 22, 29, 19, 18, 20, 14, 21]",88120.45850000001,12
89,"[3, 17, 10, 4, 6, 22, 29, 19, 18, 24, 1]",87646.09600000002,11
90,"[3, 17, 10, 4, 6, 22, 29, 19, 32]",67761.62150000002,9
91,"[3, 17, 10, 4, 6, 22, 29, 23, 13]",66334.60350000001,9
92,"[4, 6, 22, 8, 23, 9, 13, 18, 14, 21, 31, 20]",57379.86600000001,12
93,"[4, 6, 22, 8, 23, 21, 31, 14, 18, 24, 2, 5, 27]",86224.05149999999,13
94,"[4, 6, 22, 23, 9, 13, 19, 18, 24, 15]",59942.1895,10
95,"[4, 6, 22, 23, 16, 19, 18, 14, 21, 31]",50450.92000000001,10
96,"[4, 6, 22, 23, 29, 19, 13, 18, 14, 21]",57973.81400000002,10
97,"[4, 6, 22, 29, 16, 13, 18, 14, 31, 21, 14, 20]",55864.63250000001,12
98,"[4, 6, 22, 29, 16, 13, 19, 18, 1, 24]",54080.064000000006,10
99,"[4, 6, 22, 29, 16, 19]",22565.888500000005,6
100,"[4, 6, 22, 29, 19, 13, 14, 20]",40072.51700000001,8
101,"[4, 6, 22, 29, 19, 16, 13, 14, 21, 8, 23, 9]",57647.717500000006,12
102,"[4, 6, 22, 29, 19, 16, 23, 21, 14, 31]",45894.1665,10
103,"[4, 6, 22, 29, 19, 16, 23, 21, 31, 14, 18, 15]",60857.165,12
104,"[4, 6, 22, 29, 19, 18, 13]",37365.2855,7
105,"[4, 6, 22, 29, 19, 18, 14]",34943.662000000004,7
106,"[4, 6, 22, 29, 19, 18, 14, 20]",40651.67050000001,8
107,"[4, 6, 22, 29, 19, 32]",26393.267000000003,6
108,"[4, 6, 22, 29, 23, 9, 13, 19, 18, 24, 1, 20]",63771.2705,12
109,"[4, 6, 22, 29, 23, 16, 13, 14]",35882.3925,8
110,"[4, 6, 22, 29, 23, 21]",25079.395500000002,6
111,"[4, 6, 22, 29, 23, 21, 31, 14]",34215.921500000004,8
112,"[4, 6, 22, 29, 23, 21, 31, 14, 18, 24]",50020.989,10
113,"[4, 6, 22, 29, 32, 19, 15]",38050.100000000006,7
114,"[4, 6, 22, 29, 32, 30]",38261.068,6
115,"[4, 10, 17, 3, 15, 18, 14, 21, 23, 9, 13]",83943.67450000002,11
116,"[4, 10, 17, 3, 15, 19, 29, 16, 13, 9]",84486.07350000001,10
117,"[4, 17, 3, 15, 18, 19, 29, 32]",81980.60450000002,8
118,"[4, 17, 3, 15, 18, 20]",66707.87350000002,6
119,"[4, 17, 3, 15, 19, 29, 12]",84526.70650000003,7
120,"[4, 17, 10, 4, 6, 22, 29, 23, 16, 13, 19, 15, 3]",79350.89700000001,13
121,"[4, 28, 25, 22, 29, 19, 15, 3]",48239.755000000005,8
122,"[4, 28, 25, 22, 29, 23, 13, 19, 18, 24, 2, 5, 27]",87442.23899999999,13
123,"[5, 2, 24, 1, 18, 14, 21]",45665.439999999995,7
124,"[5, 2, 24, 1, 18, 14, 21, 23, 8]",55392.2775,9
125,"[5, 2, 24, 1, 20, 14, 18, 13, 16, 19]",60784.3165,10
126,"[5, 2, 24, 1, 20, 18, 13, 14, 31, 21, 23, 16, 19]",77913.563,13
127,"[5, 2, 24, 15, 18, 19, 32, 29, 23, 8, 22]",77968.9045,11
128,"[5, 2, 24, 18, 13, 16, 19, 29, 23, 21, 31, 20]",77221.00450000001,12
129,"[5, 2, 24, 18, 14, 13, 19, 29, 22, 6, 4]",68658.73349999999,11
130,"[5, 2, 24, 18, 14, 20, 1]",46036.55599999998,7
131,"[5, 2, 24, 18, 14, 21, 8, 23, 9, 13, 19, 29, 16]",76000.6245,13
132,"[5, 2, 24, 18, 14, 21, 31]",42847.20749999999,7
133,"[5, 2, 24, 18, 14, 21, 31, 20, 18, 19, 32, 29]",77354.3155,12
134,"[5, 2, 24, 18, 15, 3]",49172.47949999999,6
135,"[5, 2, 24, 18, 15, 19, 16, 29]",60484.4215,8
136,"[5, 2, 24, 18, 19, 16, 23, 22, 29, 32]",67196.4155,10
137,"[5, 2, 24, 18, 19, 16, 29, 22, 6, 4, 10, 17]",70175.122,12
138,"[5, 2, 24, 18, 19, 16, 29, 22, 23]",60169.2935,9
139,"[5, 2, 24, 18, 19, 29, 22, 6, 4, 17, 10]",72714.021,11
140,"[5, 2, 24, 18, 19, 32, 29, 16]",53033.490499999985,8
141,"[5, 2, 24, 18, 19, 32, 29, 22, 6, 4, 10, 17]",72749.73449999999,12
142,"[5, 3, 15, 19, 32, 29, 22, 6, 4, 10]",85527.55550000002,10
143,"[6, 4, 17, 3, 15, 7]",57188.85300000002,6
144,"[6, 4, 17, 3, 15, 19, 32]",73089.67650000002,7
145,"[6, 4, 28, 25, 22, 29, 19, 32, 15, 3]",62858.36099999999,10
146,"[6, 4, 30, 32, 19, 18, 24, 2, 5]",82441.21299999997,9
147,"[6, 22, 8, 23, 13, 18, 19, 16, 23, 29]",53826.8695,10
148,"[6, 22, 8, 23, 21, 14]",26071.5135,6
149,"[6, 22, 8, 23, 21, 14, 18, 19, 29, 12]",61836.455500000004,10
150,"[6, 22, 8, 23, 29, 32, 30]",47659.048500000004,7
151,"[6, 22, 23, 21, 14, 18]",28819.602000000006,6
152,"[6, 22, 23, 21, 31, 14, 13, 16, 19, 15, 7]",58850.357,11
153,"[6, 22, 25, 28, 4, 10]",19752.874,6
154,"[6, 22, 25, 28, 4, 10, 17, 3]",56678.61100000002,8
155,"[6, 22, 25, 28, 4, 10, 17, 3, 15, 18, 14]",83110.29150000002,11
156,"[6, 22, 25, 28, 4, 10, 17, 30, 29, 19]",72830.29599999999,10
157,"[6, 22, 25, 28, 4, 17, 30]",44686.41649999999,7
158,"[6, 22, 29, 16, 19, 18]",25328.223500000004,6
159,"[6, 22, 29, 16, 23, 21, 14, 20, 1, 24, 2]",54805.426999999996,11
160,"[6, 22, 29, 19, 13, 9, 23, 8, 21, 31]",44567.292499999996,10
161,"[6, 22, 29, 19, 13, 23, 21, 14, 18, 24, 2, 5, 27]",88043.3355,13
162,"[6, 22, 29, 19, 16, 13, 9, 23, 21, 31, 14, 18]",51883.885500000004,12
163,"[6, 22, 29, 19, 16, 23, 21, 14, 18, 13, 9]",51543.068500000016,11
164,"[6, 22, 29, 19, 18, 24]",33928.5665,6
165,"[6, 22, 29, 23, 16, 19]",24134.6585,6
166,"[6, 22, 29, 23, 21, 13, 14, 18, 15, 3]",60536.37700000001,10
167,"[6, 22, 29, 23, 21, 14, 18, 24]",40157.199499999995,8
168,"[6, 22, 29, 23, 21, 31]",23826.167500000003,6
169,"[6, 22, 29, 30, 32, 19, 13, 18, 1, 24]",80902.90049999999,10
170,"[6, 22, 29, 32, 19, 13, 14, 18, 24, 15, 3]",70445.103,11
171,"[6, 22, 29, 32, 19, 18, 24, 1, 20, 14]",56755.9595,10
172,"[6, 22, 29, 32, 19, 18, 24, 15, 19]",61437.712,9
173,"[6, 22, 29, 32, 30, 4, 17, 10]",65020.43599999998,8
174,"[7, 15, 2, 24, 1, 20, 31, 21, 14, 31, 21]",67342.52249999999,11
175,"[7, 15, 2, 24, 18, 19, 29, 32, 30]",80330.27899999998,9
176,"[7, 15, 3, 11, 5, 2]",57723.02649999999,6
177,"[7, 15, 3, 11, 5, 2, 24, 18]",76355.26899999999,8
178,"[7, 15, 3, 11, 5, 27]",63832.28049999999,6
179,"[7, 15, 3, 17, 4, 6, 22, 29]",65142.94400000001,8
180,"[7, 15, 3, 17, 4, 6, 22, 29, 19]",73059.99300000002,9
181,"[7, 15, 3, 17, 4, 28, 25, 22, 6, 25, 28, 30]",88981.3995,12
182,"[7, 15, 3, 17, 10, 4, 6]",59841.97450000001,7
183,"[7, 15, 3, 17, 10, 4, 6, 22]",63238.95350000001,8
184,"[7, 15, 3, 17, 10, 4, 6, 22, 25, 28]",70828.80350000001,10
185,"[7, 15, 3, 17, 10, 4, 6, 22, 25, 28, 30]",84478.1445,11
186,"[7, 15, 3, 17, 10, 4, 6, 22, 29, 16]",72363.29900000001,10
187,"[7, 15, 3, 17, 10, 4, 6, 22, 29, 16, 19, 32]",82396.51600000002,12
188,"[7, 15, 18, 1, 20, 14, 21, 23, 29, 22, 6, 4, 10]",67557.891,13
189,"[7, 15, 18, 13, 9, 23, 21, 31, 14]",40915.444,9
190,"[7, 15, 18, 13, 19, 29, 22]",39334.234000000004,7
191,"[7, 15, 18, 13, 19, 29, 22, 6, 4]",47997.950000000004,9
192,"[7, 15, 18, 14, 21, 23, 13, 18, 19, 32, 15, 3]",82382.8485,12
