id,origin,destination,length,travel_time,capacity
1,1,18,9777.658,9777.658,10
2,1,20,6034.322499999998,6034.322499999998,10
3,1,24,7082.438,7082.438,10
4,2,3,25576.4055,25576.4055,10
5,2,5,9885.269499999995,9885.269499999995,10
6,2,15,18447.509999999995,18447.509999999995,10
7,2,24,8603.887999999999,8603.887999999999,10
8,3,5,32092.120500000008,32092.120500000008,10
9,3,11,20128.7745,20128.7745,10
10,3,15,10942.717499999995,10942.717499999995,10
11,3,17,30305.705000000016,30305.705000000016,10
12,3,30,43324.52500000001,43324.52500000001,10
13,4,6,5266.736999999999,5266.736999999999,10
14,4,10,4442.6175,4442.6175,10
15,4,17,8409.528000000002,8409.528000000002,10
16,4,28,4323.4275,4323.4275,10
17,4,30,16996.54499999999,16996.54499999999,10
18,5,11,14502.0995,14502.0995,10
19,5,15,27182.849000000002,27182.849000000002,10
20,5,27,15994.5235,15994.5235,10
21,6,22,3396.9790000000003,3396.9790000000003,10
22,6,25,5617.117499999999,5617.117499999999,10
23,6,28,5465.5655,5465.5655,10
24,7,15,2264.1655,2264.1655,10
25,8,21,7438.117999999998,7438.117999999998,10
26,8,22,8408.223500000004,8408.223500000004,10
27,8,23,4340.938,4340.938,10
28,9,13,2063.6065,2063.6065,10
29,9,23,4154.660000000001,4154.660000000001,10
30,10,17,6620.032000000001,6620.032000000001,10
31,11,27,17059.374499999998,17059.374499999998,10
32,12,22,15758.426,15758.426,10
33,12,29,14042.108,14042.108,10
34,12,31,16600.006500000003,16600.006500000003,10
35,13,14,6541.3105000000005,6541.3105000000005,10
36,13,16,4717.513500000001,4717.513500000001,10
37,13,18,8198.336500000001,8198.336500000001,10
38,13,19,6685.321000000002,6685.321000000002,10
39,13,21,7750.727500000001,7750.727500000001,10
40,13,23,5272.753,5272.753,10
41,14,18,5776.713000000002,5776.713000000002,10
42,14,20,5708.0085,5708.0085,10
43,14,21,4539.4735,4539.4735,10
44,14,31,5123.017,5123.017,10
45,15,18,9712.249999999998,9712.249999999998,10
46,15,19,12909.598999999998,12909.598999999998,10
47,15,24,10596.922499999999,10596.922499999999,10
48,15,30,34519.82649999999,34519.82649999999,10
49,15,32,17006.078,17006.078,10
50,16,19,4777.827000000001,4777.827000000001,10
51,16,23,4930.0725,4930.0725,10
52,16,29,4567.2335,4567.2335,10
53,17,26,5613.978999999999,5613.978999999999,10
54,17,30,20966.63199999999,20966.63199999999,10
55,18,19,8029.072000000001,8029.072000000001,10
56,18,20,7337.673000000002,7337.673000000002,10
57,18,24,10028.354499999996,10028.354499999996,10
58,19,29,7917.049000000001,7917.049000000001,10
59,19,32,5255.390000000003,5255.390000000003,10
60,20,31,7220.6900000000005,7220.6900000000005,10
61,21,23,5385.8994999999995,5385.8994999999995,10
62,21,31,4013.509,4013.509,10
63,22,23,9720.537000000004,9720.537000000004,10
64,22,25,5107.281500000001,5107.281500000001,10
65,22,29,4557.112000000001,4557.112000000001,10
66,22,30,16868.87949999999,16868.87949999999,10
67,23,29,6472.6680000000015,6472.6680000000015,10
68,25,28,2482.5684999999994,2482.5684999999994,10
69,25,30,13641.605499999994,13641.605499999994,10
70,28,30,13649.340999999993,13649.340999999993,10
71,29,30,17573.708999999995,17573.708999999995,10
72,29,32,6664.282999999999,6664.282999999999,10
73,30,32,18375.956999999995,18375.956999999995,10
