id,origin,destination,demand,paths
1,1,5,238,10
2,1,9,260,10
3,1,11,81,10
4,1,19,1612,10
5,1,36,66,10
6,1,42,1690,10
7,1,43,7,10
8,1,47,917,10
9,1,48,975,10
10,1,54,32,10
11,1,69,32,10
12,1,87,347,10
13,1,90,36,10
14,1,91,222,10
15,1,93,69,10
16,1,96,329,10
17,1,98,237,10
18,1,108,160,10
19,1,109,177,10
20,1,118,196,10
21,1,123,73,10
22,1,137,896,10
23,1,143,65,10
24,1,156,231,10
25,1,158,43,10
26,3,5,8,10
27,3,6,14,10
28,3,9,1940,10
29,3,19,135,10
30,3,20,4,10
31,3,22,193,10
32,3,25,156,10
33,3,29,108,10
34,3,33,36,10
35,3,35,181,10
36,3,36,1452,10
37,3,41,352,10
38,3,43,20,10
39,3,44,59,10
40,3,46,29,10
41,3,48,19,10
42,3,49,73,10
43,3,50,293,10
44,3,52,39,10
45,3,57,7,10
46,3,58,9,10
47,3,61,74,10
48,3,62,2147,10
49,3,65,491,10
50,3,68,1543,10
51,3,70,210,10
52,3,72,601,10
53,3,75,101,10
54,3,76,258,10
55,3,81,558,10
56,3,83,602,10
57,3,84,1047,10
58,3,87,5,10
59,3,88,149,10
60,3,90,116,10
61,3,91,430,10
62,3,92,44,10
63,3,94,208,10
64,3,96,438,10
65,3,98,54,10
66,3,101,70,10
67,3,104,94,10
68,3,108,460,10
69,3,109,2,10
70,3,115,45,10
71,3,116,141,10
72,3,118,83,10
73,3,119,45,10
74,3,122,215,10
75,3,123,1168,10
76,3,129,26,10
77,3,136,156,10
78,3,137,257,10
79,3,139,4,10
80,3,142,1589,10
81,3,143,13,10
82,3,146,221,10
83,3,153,9,10
84,3,154,42,10
85,3,156,646,10
86,4,8,559,10
87,4,9,302,10
88,4,16,80,10
89,4,19,215,10
90,4,25,74,10
91,4,30,1267,10
92,4,36,51,10
93,4,43,217,10
94,4,48,119,10
95,4,49,146,10
96,4,50,186,10
97,4,52,77,10
98,4,53,112,10
99,4,60,1558,10
100,4,62,71,10
101,4,64,146,10
102,4,69,205,10
103,4,81,157,10
104,4,87,205,10
105,4,88,280,10
106,4,90,284,10
107,4,91,85,10
108,4,92,1648,10
109,4,94,175,10
110,4,96,146,10
111,4,98,285,10
112,4,102,2524,10
113,4,104,1774,10
114,4,105,98,10
115,4,107,103,10
116,4,118,233,10
117,4,119,48,10
118,4,122,295,10
119,4,128,217,10
120,4,130,45,10
121,4,132,75,10
122,4,137,814,10
123,4,139,143,10
124,4,143,147,10
125,4,156,698,10
126,4,157,119,10
127,4,158,310,10
128,5,1,159,10
129,5,3,11,10
130,5,6,54,10
131,5,8,348,10
132,5,9,71,10
133,5,14,72,10
134,5,19,38,10
135,5,25,228,10
136,5,29,746,10
137,5,34,52,10
