id,sequence,length,num_stops
1,"[1, 2]",8,2
2,,0,0
3,,0,0
4,,0,0
5,,0,0
6,,0,0
7,,0,0
8,,0,0
9,,0,0
10,,0,0
11,"[1, 2, 3]",10,3
12,"[1, 2, 4, 6, 3]",18,5
13,"[1, 2, 5, 4, 6, 3]",25,6
14,"[1, 2, 4, 12, 11, 10, 8, 6, 3]",49,9
15,"[1, 2, 5, 4, 12, 11, 10, 8, 6, 3]",56,10
16,"[1, 2, 4, 12, 11, 13, 10, 8, 6, 3]",59,10
17,"[1, 2, 4, 12, 11, 10, 7, 15, 6, 3]",51,10
18,"[1, 2, 4, 12, 11, 10, 8, 15, 6, 3]",52,10
19,"[1, 2, 5, 4, 12, 11, 13, 10, 8, 6, 3]",66,11
20,"[1, 2, 5, 4, 12, 11, 10, 7, 15, 6, 3]",58,11
21,"[1, 2, 4]",11,3
22,"[1, 2, 5, 4]",18,4
23,"[1, 2, 3, 6, 4]",17,5
24,"[1, 2, 3, 6, 8, 10, 11, 12, 4]",48,9
25,"[1, 2, 3, 6, 15, 7, 10, 11, 12, 4]",50,10
26,"[1, 2, 3, 6, 8, 10, 13, 11, 12, 4]",58,10
27,"[1, 2, 3, 6, 15, 8, 10, 11, 12, 4]",51,10
28,"[1, 2, 3, 6, 8, 15, 7, 10, 11, 12, 4]",51,11
29,"[1, 2, 3, 6, 15, 7, 10, 13, 11, 12, 4]",60,11
30,"[1, 2, 3, 6, 8, 10, 14, 13, 11, 12, 4]",58,11
31,"[1, 2, 5]",14,3
32,"[1, 2, 4, 5]",15,4
33,"[1, 2, 3, 6, 4, 5]",21,6
34,"[1, 2, 3, 6, 8, 10, 11, 12, 4, 5]",52,10
35,"[1, 2, 3, 6, 15, 7, 10, 11, 12, 4, 5]",54,11
36,"[1, 2, 3, 6, 8, 10, 13, 11, 12, 4, 5]",62,11
37,"[1, 2, 3, 6, 15, 8, 10, 11, 12, 4, 5]",55,11
38,"[1, 2, 3, 6, 8, 15, 7, 10, 11, 12, 4, 5]",55,12
39,"[1, 2, 3, 6, 15, 7, 10, 13, 11, 12, 4, 5]",64,12
40,"[1, 2, 3, 6, 8, 10, 14, 13, 11, 12, 4, 5]",62,12
41,"[1, 2, 3, 6]",13,4
42,"[1, 2, 4, 6]",15,4
43,"[1, 2, 5, 4, 6]",22,5
44,"[1, 2, 4, 12, 11, 10, 8, 6]",46,8
45,"[1, 2, 5, 4, 12, 11, 10, 8, 6]",53,9
46,"[1, 2, 4, 12, 11, 13, 10, 8, 6]",56,9
47,"[1, 2, 4, 12, 11, 10, 7, 15, 6]",48,9
48,"[1, 2, 4, 12, 11, 10, 8, 15, 6]",49,9
49,"[1, 2, 5, 4, 12, 11, 13, 10, 8, 6]",63,10
50,"[1, 2, 5, 4, 12, 11, 10, 7, 15, 6]",55,10
51,"[1, 2, 3, 6, 15, 7]",18,6
52,"[1, 2, 4, 6, 15, 7]",20,6
53,"[1, 2, 3, 6, 8, 15, 7]",19,7
