route_id,edge_id,DELTA
1,1,1
1,2,0
1,3,1
1,4,0
1,5,1
1,6,0
1,7,1
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
2,1,1
2,2,0
2,3,0
2,4,1
2,5,1
2,6,1
2,7,1
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
3,1,1
3,2,1
3,3,0
3,4,0
3,5,1
3,6,0
3,7,1
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
4,1,1
4,2,0
4,3,0
4,4,1
4,5,0
4,6,1
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
5,1,1
5,2,0
5,3,1
5,4,0
5,5,0
5,6,1
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
6,1,1
6,2,1
6,3,0
6,4,0
6,5,1
6,6,1
6,7,1
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
7,1,1
7,2,1
7,3,0
7,4,0
7,5,1
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
8,1,1
8,2,0
8,3,1
8,4,0
8,5,0
8,6,0
8,7,1
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
9,1,1
9,2,0
9,3,0
9,4,1
9,5,0
9,6,1
9,7,1
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
10,1,1
10,2,1
10,3,0
10,4,0
10,5,1
10,6,0
10,7,0
10,8,0
10,9,0
10,10,1
10,11,0
10,12,1
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
10,21,0
11,1,1
11,2,1
11,3,0
11,4,0
11,5,1
11,6,0
11,7,0
11,8,0
11,9,1
11,10,0
11,11,0
11,12,1
11,13,1
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
