id,origin,destination,demand,paths
1,1,2,9,1
2,1,3,2,10
3,1,4,8,10
4,1,5,3,10
5,1,6,3,10
6,1,7,4,10
7,1,8,8,10
8,1,9,1,10
9,1,10,5,10
10,1,11,3,10
11,1,12,4,10
12,1,13,1,10
13,1,14,8,10
14,1,15,8,10
15,2,1,3,1
16,2,3,7,10
17,2,4,5,10
18,2,5,1,10
19,2,6,8,10
20,2,7,2,10
21,2,8,1,10
22,2,9,5,10
23,2,10,5,10
24,2,12,5,10
25,2,13,2,10
26,2,14,3,10
27,2,15,9,10
28,3,1,9,10
29,3,4,7,10
30,3,5,4,10
31,3,6,3,10
32,3,7,1,10
33,3,8,3,10
34,3,9,6,10
35,3,10,2,10
36,3,11,4,10
37,3,12,8,10
38,3,13,4,10
39,3,14,6,10
40,3,15,1,10
41,4,1,7,10
42,4,2,4,10
43,4,3,3,10
44,4,5,1,10
45,4,7,7,10
46,4,9,4,10
47,4,11,4,10
48,4,12,8,10
49,4,13,8,10
50,4,14,7,10
51,4,15,7,10
52,5,1,5,10
53,5,2,4,10
54,5,3,1,10
55,5,6,1,10
56,5,7,6,10
57,5,8,6,10
58,5,9,4,10
59,5,10,1,10
60,5,11,8,10
61,5,12,6,10
62,5,14,5,10
63,5,15,1,10
64,6,1,4,10
65,6,2,8,10
66,6,3,1,10
67,6,4,3,10
68,6,5,6,10
69,6,7,3,10
70,6,8,6,10
71,6,9,8,10
72,6,10,3,10
73,6,11,5,10
74,6,12,9,10
75,6,13,9,10
76,6,14,3,10
77,6,15,5,10
78,7,1,2,10
79,7,2,9,10
80,7,3,8,10
81,7,5,4,10
82,7,8,6,10
83,7,9,6,10
84,7,10,2,10
85,7,11,9,10
86,7,13,3,10
87,7,14,2,10
88,7,15,1,10
89,8,1,1,10
90,8,2,6,10
91,8,3,8,10
92,8,4,2,10
93,8,5,6,10
94,8,6,6,10
95,8,9,9,10
96,8,10,7,10
97,8,11,2,10
98,8,12,9,10
99,8,13,6,10
100,8,14,9,10
101,8,15,2,10
102,9,2,9,10
103,9,3,4,10
104,9,4,4,10
105,9,5,6,10
106,9,6,3,10
107,9,7,4,10
108,9,8,3,10
109,9,10,4,10
110,9,11,7,10
111,9,12,6,10
112,9,13,5,10
113,9,14,6,10
114,9,15,4,1
115,10,1,5,10
116,10,2,7,10
117,10,4,6,10
118,10,5,2,10
119,10,6,4,10
120,10,8,5,10
121,10,9,3,10
122,10,11,5,10
123,10,12,4,10
124,10,13,7,10
125,10,14,6,10
126,10,15,9,10
127,11,1,9,10
128,11,2,7,10
129,11,3,4,10
130,11,4,9,10
131,11,5,5,10
132,11,6,5,10
133,11,7,8,10
134,11,9,1,10
135,11,10,8,10
136,11,12,4,10
137,11,13,5,10
138,11,14,8,10
139,11,15,6,10
140,12,1,1,10
141,12,2,4,10
142,12,3,1,10
143,12,4,5,10
144,12,5,1,10
145,12,6,6,10
146,12,7,6,10
147,12,8,2,10
148,12,9,9,10
149,12,10,2,10
150,12,11,8,10
151,12,13,9,10
152,12,14,4,10
153,12,15,3,10
154,13,1,9,10
155,13,2,6,10
156,13,3,3,10
157,13,4,7,10
158,13,5,4,10
159,13,6,7,10
160,13,7,6,10
161,13,8,2,10
162,13,9,9,10
163,13,10,2,10
164,13,11,6,10
165,13,12,1,10
166,13,14,6,10
167,14,1,6,10
168,14,2,6,10
169,14,3,5,10
170,14,4,2,10
171,14,5,2,10
172,14,6,6,10
173,14,7,4,10
174,14,8,6,10
175,14,9,4,10
176,14,10,9,10
177,14,13,2,10
178,14,15,3,10
179,15,1,8,10
180,15,2,5,10
181,15,3,2,10
182,15,5,6,10
183,15,6,8,10
184,15,7,1,10
185,15,8,9,10
186,15,9,3,1
187,15,10,3,10
188,15,11,1,10
189,15,12,3,10
190,15,13,4,10
191,15,14,9,10
